feature,importance
f_7,0.1486029855557651
f_21,0.14613716909171898
f_15,0.14096397505987082
f_0,0.12478058875841785
f_13,0.05912895221128642
f_53,0.05844076368975714
f_18,0.04399749619968783
f_12,0.034264990468025766
f_2,0.03086731452405126
f_19,0.01900554820448953
f_81,0.018173176825807828
f_3,0.0156498233663735
f_8,0.015313595499595855
f_20,0.012585087619698494
f_14,0.012172169270528655
f_17,0.011970644808720494
f_9,0.011387232540027686
f_32,0.010416382211132495
f_10,0.010389374578520892
f_54,0.00866014208059682
f_55,0.008483580817531764
f_11,0.006777873255329866
f_5,0.0061331788455251095
f_4,0.005619238302611816
f_1,0.005187231759997656
f_6,0.003996248301346953
f_22,0.0032784126181012625
f_34,0.003223818321006133
f_56,0.0032229764098912687
f_27,0.002953651203102242
f_24,0.002627845240735304
f_25,0.0013908256241990926
f_59,0.0010355169683991638
f_80,0.0010019719750519816
f_39,0.0009810512201834799
f_58,0.0009528738365922229
f_57,0.0008538629657643924
f_28,0.0007838688152607336
f_40,0.0007667670356185843
f_67,0.0007483716315237083
f_35,0.0007309914176737912
f_29,0.0007154488677377552
f_66,0.0006967306031535214
f_73,0.0006447332933245615
f_43,0.0005269621942664625
f_36,0.0005153290226739796
f_50,0.000255263274430172
f_49,0.0002544280317707029
f_74,0.00023621379890986267
f_51,0.00022084176453444877
f_75,0.00021320595764898363
f_48,0.00020181512676010512
f_37,0.00017407987968738443
f_30,0.00015453830410866296
f_41,0.00014339632822317114
f_47,0.00013960899219739512
f_38,0.00012780563491449317
f_44,0.00012484572363523005
f_79,0.00012183161499799851
f_46,9.7416046890152e-05
f_65,9.195912316924617e-05
f_42,7.509510692937109e-05
f_45,7.255529665183328e-05
f_61,6.668201745338838e-05
f_31,6.532548913746754e-05
f_76,6.487193232195917e-05
f_68,5.300717228406209e-05
f_33,5.025199310625597e-05
f_64,4.7575739751128956e-05
f_26,4.078063450215768e-05
f_16,3.3150332650929114e-05
f_52,3.288367446439292e-05
f_23,3.025485964797518e-05
f_77,2.1187618005924036e-05
f_60,1.1748073310826744e-05
f_69,9.02972352629798e-06
f_71,7.67286310535693e-06
f_72,3.904760596415058e-06
f_62,0.0
f_63,0.0
f_70,0.0
f_78,0.0
